Date,AAPL,GOOG,MSFT,AMZN,FB
2014-12-31,25.020116806030273,524.958740234375,40.99561309814453,310.3500061035156,78.0199966430664
2015-01-02,24.7821102142334,523.3731079101562,41.269203186035156,308.5199890136719,78.44999694824219
2015-01-05,24.08395767211914,512.4630126953125,40.88970184326172,302.19000244140625,77.19000244140625
2015-01-06,24.086227416992188,500.58563232421875,40.28954315185547,295.2900085449219,76.1500015258789
2015-01-07,24.423974990844727,499.7279968261719,40.80143356323242,298.4200134277344,76.1500015258789
2015-01-08,25.362394332885742,501.3036804199219,42.00174331665039,300.4599914550781,78.18000030517578
2015-01-09,25.38959312438965,494.8114929199219,41.648712158203125,296.92999267578125,77.73999786376953
2015-01-12,24.763978958129883,491.201416015625,41.12799072265625,291.4100036621094,76.72000122070312
2015-01-13,24.983848571777344,494.82147216796875,40.916175842285156,294.739990234375,76.44999694824219
2015-01-14,24.88865089416504,499.4986267089844,40.563140869140625,293.2699890136719,76.27999877929688
2015-01-15,24.213157653808594,500.4161071777344,40.13950729370117,286.95001220703125,74.05000305175781
2015-01-16,24.025022506713867,506.6888732910156,40.81026077270508,290.739990234375,75.18000030517578
2015-01-20,24.643844604492188,505.5121154785156,40.942657470703125,289.44000244140625,76.23999786376953
2015-01-21,24.831981658935547,516.6216430664062,40.527835845947266,297.25,76.73999786376953
2015-01-22,25.477994918823242,532.9268188476562,41.59575653076172,310.32000732421875,77.6500015258789
2015-01-23,25.609468460083008,538.4716186523438,41.6398811340332,312.3900146484375,77.83000183105469
2015-01-26,25.636667251586914,533.74462890625,41.48985290527344,309.6600036621094,77.5
2015-01-27,24.73904800415039,517.2100219726562,37.650638580322266,306.75,75.77999877929688
2015-01-28,26.137611389160156,508.6036376953125,36.35326385498047,303.9100036621094,76.23999786376953
2015-01-29,26.951370239257812,509.2618103027344,37.076969146728516,311.7799987792969,78.0
2015-01-30,26.556961059570312,533.0565185546875,35.65602493286133,354.5299987792969,75.91000366210938
2015-02-02,26.89016342163086,527.0330200195312,36.43269348144531,364.4700012207031,74.98999786376953
2015-02-03,26.89470100402832,527.7909545898438,36.71511459350586,363.54998779296875,75.4000015258789
2015-02-04,27.100969314575195,521.3286743164062,36.926937103271484,364.75,75.62999725341797
2015-02-05,27.294410705566406,526.135498046875,37.46531295776367,373.8900146484375,75.61000061035156
2015-02-06,27.064563751220703,529.546142578125,37.43000030517578,374.2799987792969,74.47000122070312
2015-02-09,27.244338989257812,526.3848266601562,37.38587188720703,370.55999755859375,74.44000244140625
2015-02-10,27.767742156982422,535.4698486328125,37.597686767578125,373.0,75.19000244140625
2015-02-11,28.418588638305664,534.5025024414062,37.403533935546875,375.1400146484375,76.51000213623047
2015-02-12,28.778135299682617,541.4434814453125,38.030155181884766,377.1700134277344,76.2300033569336
2015-02-13,28.919231414794922,547.5068359375,38.718570709228516,381.8299865722656,75.73999786376953
2015-02-17,29.08991050720215,541.3536987304688,38.73634719848633,375.42999267578125,75.5999984741211
2015-02-18,29.29244613647461,538.2222900390625,38.69189453125,373.3699951171875,76.70999908447266
2015-02-19,29.23099708557129,541.3836059570312,38.66524124145508,379.0,79.41999816894531
2015-02-20,29.46994972229004,537.474365234375,38.9852180480957,383.6600036621094,79.9000015258789
2015-02-23,30.266437530517578,530.45361328125,39.24298095703125,380.1400146484375,78.83999633789062
2015-02-24,30.077550888061523,534.6221923828125,39.18964767456055,378.5899963378906,78.44999694824219
2015-02-25,29.30837059020996,542.3809204101562,39.10076904296875,385.3699951171875,79.55999755859375
2015-02-26,29.679311752319336,553.9591064453125,39.162994384765625,384.79998779296875,80.41000366210938
2015-02-27,29.233278274536133,556.87109375,38.976322174072266,380.1600036621094,78.97000122070312
2015-03-02,29.37664031982422,569.7756958007812,39.002994537353516,385.6600036621094,79.75
2015-03-03,29.438093185424805,572.0693969726562,38.46968460083008,384.6099853515625,79.5999984741211
2015-03-04,29.251480102539062,571.8001098632812,38.274131774902344,382.7200012207031,80.9000015258789
2015-03-05,28.766769409179688,573.7547607421875,38.31856918334961,387.8299865722656,81.20999908447266
2015-03-06,28.81000328063965,566.1306762695312,37.65193176269531,380.0899963378906,80.01000213623047
2015-03-09,28.93288803100586,567.29248046875,38.08747100830078,378.55999755859375,79.44000244140625
2015-03-10,28.334386825561523,553.4904174804688,37.35860824584961,369.510009765625,77.55000305175781
2015-03-11,27.81781005859375,549.6708984375,37.31416702270508,366.3699951171875,77.56999969482422
2015-03-12,28.320730209350586,553.989013671875,36.460872650146484,374.239990234375,78.93000030517578
2015-03-13,28.12502098083496,545.8214721679688,36.78085708618164,370.5799865722656,78.05000305175781
2015-03-16,28.434511184692383,552.9917602539062,36.94085693359375,373.3500061035156,78.06999969482422
2015-03-17,28.910133361816406,549.331787109375,37.065284729003906,371.9200134277344,79.36000061035156
2015-03-18,29.23555564880371,557.9680786132812,37.7763786315918,375.1400146484375,80.91000366210938
2015-03-19,29.014816284179688,556.4622192382812,37.5897102355957,373.239990234375,82.75
2015-03-20,28.650705337524414,558.8257446289062,38.114139556884766,378.489990234375,83.80000305175781
2015-03-23,28.948822021484375,557.2799682617188,38.09636688232422,375.1099853515625,84.43000030517578
2015-03-24,28.83048439025879,568.6288452148438,38.13190460205078,374.0899963378906,85.30999755859375
2015-03-25,28.077234268188477,557.2550659179688,36.851959228515625,370.9599914550781,82.91999816894531
2015-03-26,28.272945404052734,553.6499633789062,36.6297492980957,367.3500061035156,83.01000213623047
2015-03-27,28.04765510559082,546.8386840820312,36.41642379760742,370.55999755859375,83.30000305175781
